title_year,aspect_ratio,duration.1,budget,imdb_score,cast_total_facebook_likes,worldwide_gross,production_budget
2004.0,2.35,124.0,125000000.0,6.4,20553.0,556319450.0,125000000.0
2000.0,2.35,130.0,140000000.0,6.4,2684.0,328711434.0,120000000.0
2007.0,2.35,92.0,130000000.0,5.6,15302.0,288215319.0,120000000.0
2012.0,1.85,127.0,120000000.0,8.0,2121.0,607987022.0,120000000.0
2007.0,2.35,123.0,110000000.0,5.2,14017.0,229545589.0,120000000.0
2016.0,2.35,123.0,120000000.0,7.1,13752.0,200421835.0,120000000.0
2003.0,2.35,107.0,120000000.0,4.8,4046.0,227200000.0,120000000.0
2012.0,2.35,124.0,130000000.0,7.0,24098.0,399005706.0,125000000.0
2002.0,1.85,77.0,120000000.0,5.4,2682.0,166000000.0,120000000.0
2013.0,2.35,109.0,115000000.0,6.6,17689.0,286192091.0,120000000.0
2004.0,2.35,134.0,105000000.0,6.7,17159.0,107212751.0,120000000.0
2008.0,2.35,135.0,120000000.0,6.1,902.0,93394462.0,120000000.0
2010.0,1.85,121.0,120000000.0,5.3,993.0,49628177.0,120000000.0
2010.0,2.35,117.0,117000000.0,6.3,12731.0,258751370.0,117000000.0
2013.0,2.35,124.0,120000000.0,7.0,22004.0,287916633.0,120000000.0
2005.0,2.35,140.0,113000000.0,7.6,44042.0,848998877.0,115000000.0
2002.0,1.78,142.0,115000000.0,6.7,42990.0,656695615.0,115000000.0
2001.0,1.85,92.0,115000000.0,8.1,15013.0,559757719.0,115000000.0
2013.0,2.35,138.0,120000000.0,6.7,23755.0,416456852.0,115000000.0
1999.0,2.35,136.0,115000000.0,6.5,37723.0,1027044677.0,115000000.0
2013.0,2.35,98.0,135000000.0,7.3,43286.0,573068425.0,135000000.0
2008.0,2.35,116.0,78000000.0,5.1,1609.0,132999811.0,113500000.0
2002.0,2.35,153.0,115000000.0,6.0,15046.0,77628265.0,115000000.0
2016.0,2.35,120.0,115000000.0,6.1,46719.0,164602163.0,115000000.0
2013.0,2.35,91.0,100000000.0,7.8,87.0,716392705.0,110000000.0
1997.0,2.35,108.0,116000000.0,5.8,1569.0,178200000.0,115000000.0
2016.0,2.35,112.0,135000000.0,6.3,8306.0,237177349.0,135000000.0
2006.0,1.85,108.0,110000000.0,6.4,55486.0,579446407.0,110000000.0
2015.0,2.35,114.0,110000000.0,6.1,16718.0,469590832.0,110000000.0
1997.0,2.35,119.0,110000000.0,6.5,2958.0,339504276.0,110000000.0
2000.0,2.35,142.0,110000000.0,7.1,19454.0,215300000.0,110000000.0
2004.0,2.35,125.0,110000000.0,6.4,19359.0,362989076.0,110000000.0
2005.0,2.35,126.0,120000000.0,6.5,22722.0,486124090.0,110000000.0
2004.0,2.35,170.0,110000000.0,7.5,34582.0,208370892.0,110000000.0
2010.0,2.35,85.0,112000000.0,4.9,1173.0,232017848.0,112000000.0
2011.0,2.35,119.0,120000000.0,5.8,13391.0,229155503.0,110000000.0
2014.0,2.35,102.0,110000000.0,6.2,10583.0,330780051.0,110000000.0
2011.0,1.78,103.0,110000000.0,5.5,692.0,563749323.0,110000000.0
2004.0,1.78,76.0,110000000.0,5.4,13607.0,76482461.0,110000000.0
2011.0,2.35,127.0,110000000.0,7.1,22254.0,263880341.0,110000000.0
2013.0,1.85,105.0,105000000.0,5.4,914.0,348547523.0,110000000.0
1997.0,2.35,121.0,160000000.0,3.7,2027.0,150468000.0,110000000.0
2013.0,2.35,114.0,110000000.0,6.7,12908.0,89737191.0,110000000.0
2007.0,2.35,129.0,110000000.0,7.2,13961.0,382288147.0,110000000.0
2001.0,2.35,171.0,93000000.0,8.8,22342.0,887217688.0,109000000.0
2001.0,2.35,165.0,107000000.0,6.8,14196.0,87683966.0,109000000.0
2003.0,1.85,82.0,109000000.0,3.8,2762.0,133818283.0,109000000.0
2004.0,2.35,115.0,120000000.0,7.1,12068.0,348629585.0,105000000.0
1999.0,1.85,84.0,133000000.0,5.9,3382.0,298815224.0,105000000.0
2009.0,1.85,97.0,105000000.0,7.1,2480.0,270997378.0,105000000.0
2015.0,2.35,151.0,108000000.0,8.1,14831.0,640055863.0,108000000.0
74813142.44,74813142.44,22.0,74813142.44,7.2,5.0,269065678.0,105000000.0
2001.0,1.85,104.0,90000000.0,4.4,3133.0,10364769.0,105000000.0
2000.0,2.35,127.0,90000000.0,6.5,29069.0,232643008.0,103300000.0
2000.0,2.35,171.0,103000000.0,8.5,6521.0,457683805.0,103000000.0
2002.0,2.35,145.0,102000000.0,7.7,12546.0,358824714.0,102000000.0
2002.0,2.35,174.0,100000000.0,7.4,35672.0,878979634.0,100000000.0
1991.0,2.35,153.0,102000000.0,8.5,2829.0,513815401.0,100000000.0
2009.0,2.35,140.0,100000000.0,7.0,64599.0,212282709.0,102500000.0
2007.0,1.85,176.0,100000000.0,7.8,20354.0,267985456.0,100000000.0
1994.0,2.35,141.0,115000000.0,7.2,4528.0,365300000.0,100000000.0
2009.0,2.35,106.0,100000000.0,6.4,19906.0,152364370.0,110000000.0
2010.0,1.85,98.0,100000000.0,5.5,24082.0,310650574.0,100000000.0
2010.0,2.35,116.0,100000000.0,6.7,20233.0,170936470.0,100000000.0
1996.0,2.35,115.0,100000000.0,6.1,3454.0,234400000.0,100000000.0
2012.0,2.35,165.0,100000000.0,8.5,40978.0,449948323.0,100000000.0
1996.0,1.78,91.0,100000000.0,6.9,4842.0,325500000.0,100000000.0
2000.0,1.66,78.0,100000000.0,7.3,2039.0,169296573.0,100000000.0
2012.0,2.35,103.0,92000000.0,6.7,57881.0,311979256.0,100000000.0
2004.0,2.35,131.0,100000000.0,6.9,13679.0,331323410.0,100000000.0
2006.0,2.35,104.0,100000000.0,5.1,4487.0,249488115.0,100000000.0
2009.0,2.35,101.0,100000000.0,6.8,1738.0,99123656.0,100000000.0
2013.0,2.35,102.0,100000000.0,6.7,14552.0,262794441.0,100000000.0
1999.0,2.35,121.0,83000000.0,5.7,3903.0,212026975.0,100000000.0
2006.0,2.35,143.0,100000000.0,8.0,33160.0,171377916.0,100000000.0
2013.0,2.35,240.0,100000000.0,8.2,46057.0,391976723.0,100000000.0
1995.0,1.85,121.0,100000000.0,5.4,2880.0,336529144.0,100000000.0
1997.0,1.85,129.0,105000000.0,7.2,2031.0,121100000.0,100000000.0
2012.0,2.35,172.0,102000000.0,7.5,22686.0,130673154.0,102000000.0
2010.0,2.35,101.0,80000000.0,7.0,4286.0,139716717.0,100000000.0
2004.0,2.35,87.0,100000000.0,3.3,3144.0,82145379.0,100000000.0
2002.0,1.5,95.0,140000000.0,7.1,26940.0,91800000.0,100000000.0
2009.0,1.85,102.0,100000000.0,5.4,10552.0,69548641.0,100000000.0
2014.0,2.35,131.0,90000000.0,6.1,52610.0,209461378.0,100000000.0
2005.0,1.85,94.0,84000000.0,2.2,1195.0,59918422.0,100000000.0
2002.0,1.85,95.0,100000000.0,3.8,6161.0,7094995.0,100000000.0
2010.0,2.35,115.0,100000000.0,6.9,13761.0,97523020.0,100000000.0
2015.0,1.85,88.0,99000000.0,7.2,309.0,244778411.0,99000000.0
1997.0,1.85,110.0,10000000.0,7.3,1722.0,13835130.0,100000000.0
2001.0,2.35,130.0,98000000.0,6.3,15972.0,435040395.0,98000000.0
2002.0,2.35,216.0,100000000.0,7.5,47657.0,183124621.0,97000000.0
2007.0,1.85,85.0,100000000.0,6.8,25590.0,145395745.0,100000000.0
2004.0,1.85,93.0,90000000.0,5.2,13748.0,96221971.0,100000000.0
2001.0,2.35,152.0,92000000.0,7.7,4270.0,159691085.0,95000000.0
1997.0,2.35,126.0,93000000.0,7.7,39319.0,263900000.0,95000000.0
2000.0,1.85,89.0,95000000.0,6.9,3372.0,65700000.0,95000000.0
2012.0,2.35,88.0,95000000.0,6.6,25354.0,879765137.0,95000000.0
2009.0,2.35,135.0,65000000.0,6.7,2370.0,94894448.0,95000000.0
2009.0,2.35,135.0,65000000.0,6.7,2369.0,94894448.0,95000000.0
2003.0,1.85,100.0,94000000.0,8.2,5641.0,936429370.0,94000000.0
2003.0,2.35,192.0,94000000.0,8.9,6434.0,1141408667.0,94000000.0
